timestamp_unix,timestamp_polar_ns,sample_index,ecg_uv
1778560333.020041,599616646529643533,77891,-143
1778560333.027733,599616646537335840,77891,-145
1778560333.035425,599616646545028147,77891,-152
1778560333.043118,599616646552720454,77891,-160
1778560333.050810,599616646560412761,77891,-155
1778560333.058502,599616646568105068,77891,-138
1778560333.066195,599616646575797375,77891,-118
1778560333.073887,599616646583489682,77891,-106
1778560333.081579,599616646591181989,77891,-104
1778560333.089272,599616646598874296,77891,-94
1778560333.096964,599616646606566603,77891,-99
1778560333.104656,599616646614258910,77891,-135
1778560333.112349,599616646621951217,77891,-157
1778560333.120041,599616646629643524,77891,-147
1778560333.127733,599616646637335831,77891,-140
1778560333.135426,599616646645028138,77891,-145
1778560333.143118,599616646652720445,77891,-140
1778560333.150810,599616646660412752,77891,-140
1778560333.158502,599616646668105059,77891,-138
1778560333.166195,599616646675797366,77891,-111
1778560333.173887,599616646683489673,77891,-53
1778560333.181579,599616646691181980,77891,48
1778560333.189272,599616646698874287,77891,324
1778560333.196964,599616646706566594,77891,793
1778560333.204656,599616646714258901,77891,698
1778560333.212348,599616646721951208,77891,-329
1778560333.220041,599616646729643515,77891,-822
1778560333.227733,599616646737335822,77891,-210
1778560333.235425,599616646745028129,77891,16
1778560333.243118,599616646752720436,77891,-264
1778560333.275033,599616646760156305,77964,-213
1778560333.282726,599616646767848612,77964,-99
1778560333.290418,599616646775540919,77964,-174
1778560333.298110,599616646783233226,77964,-177
1778560333.305802,599616646790925533,77964,-121
1778560333.313495,599616646798617840,77964,-138
1778560333.321187,599616646806310147,77964,-150
1778560333.328879,599616646814002454,77964,-128
1778560333.336572,599616646821694761,77964,-123
1778560333.344264,599616646829387068,77964,-123
1778560333.351956,599616646837079375,77964,-113
1778560333.359649,599616646844771682,77964,-106
1778560333.367341,599616646852463989,77964,-101
1778560333.375033,599616646860156296,77964,-92
1778560333.382725,599616646867848603,77964,-80
1778560333.390418,599616646875540910,77964,-67
1778560333.398110,599616646883233217,77964,-55
1778560333.405802,599616646890925524,77964,-48
1778560333.413495,599616646898617831,77964,-38
1778560333.421187,599616646906310138,77964,-19
1778560333.428879,599616646914002445,77964,2
1778560333.436572,599616646921694752,77964,24
1778560333.444264,599616646929387059,77964,55
1778560333.451956,599616646937079366,77964,87
1778560333.459649,599616646944771673,77964,116
1778560333.467341,599616646952463980,77964,157
1778560333.475033,599616646960156287,77964,201
1778560333.482726,599616646967848594,77964,232
1778560333.490418,599616646975540901,77964,257
1778560333.498110,599616646983233208,77964,278
1778560333.505802,599616646990925515,77964,288
1778560333.513495,599616646998617822,77964,276
1778560333.521187,599616647006310129,77964,235
1778560333.528879,599616647014002436,77964,162
1778560333.536572,599616647021694743,77964,55
1778560333.544264,599616647029387050,77964,-63
1778560333.551956,599616647037079357,77964,-162
1778560333.559649,599616647044771664,77964,-242
1778560333.567341,599616647052463971,77964,-300
1778560333.575033,599616647060156278,77964,-337
1778560333.582726,599616647067848585,77964,-361
1778560333.590418,599616647075540892,77964,-368
1778560333.598110,599616647083233199,77964,-363
1778560333.605803,599616647090925506,77964,-366
1778560333.613495,599616647098617813,77964,-371
1778560333.621187,599616647106310120,77964,-358
1778560333.628879,599616647114002427,77964,-346
1778560333.636572,599616647121694734,77964,-337
1778560333.644264,599616647129387041,77964,-332
1778560333.651956,599616647137079348,77964,-324
1778560333.659649,599616647144771655,77964,-317
1778560333.667341,599616647152463962,77964,-310
1778560333.675033,599616647160156269,77964,-298
1778560333.682725,599616647167848576,77964,-291
1778560333.690418,599616647175540883,77964,-278
1778560333.698110,599616647183233190,77964,-266
1778560333.705802,599616647190925497,77964,-259
1778560333.713495,599616647198617804,77964,-254
1778560333.721187,599616647206310111,77964,-247
1778560333.728879,599616647214002418,77964,-235
1778560333.736572,599616647221694725,77964,-225
1778560333.744264,599616647229387032,77964,-220
1778560333.751956,599616647237079339,77964,-220
1778560333.759649,599616647244771646,77964,-223
1778560333.767341,599616647252463953,77964,-218
1778560333.775033,599616647260156260,77964,-203
1778560333.782726,599616647267848567,77964,-194
1778560333.790418,599616647275540874,77964,-203
1778560333.798110,599616647283233181,77964,-210
1778560333.805802,599616647290925488,77964,-203
1778560333.813495,599616647298617795,77964,-194
1778560333.821187,599616647306310102,77964,-189
1778560333.828879,599616647314002409,77964,-189
1778560333.903759,599616647321417930,78037,-191
1778560333.911452,599616647329110237,78037,-191
1778560333.919144,599616647336802544,78037,-186
1778560333.926836,599616647344494851,78037,-184
1778560333.934529,599616647352187158,78037,-181
1778560333.942221,599616647359879465,78037,-179
1778560333.949913,599616647367571772,78037,-177
1778560333.957606,599616647375264079,78037,-177
1778560333.965298,599616647382956386,78037,-184
1778560333.972990,599616647390648693,78037,-189
1778560333.980683,599616647398341000,78037,-172
1778560333.988375,599616647406033307,78037,-160
1778560333.996067,599616647413725614,78037,-164
1778560334.003759,599616647421417921,78037,-164
1778560334.011452,599616647429110228,78037,-160
1778560334.019144,599616647436802535,78037,-164
1778560334.026836,599616647444494842,78037,-164
1778560334.034529,599616647452187149,78037,-162
1778560334.042221,599616647459879456,78037,-155
1778560334.049913,599616647467571763,78037,-145
1778560334.057606,599616647475264070,78037,-143
1778560334.065298,599616647482956377,78037,-143
1778560334.072990,599616647490648684,78037,-143
1778560334.080683,599616647498340991,78037,-145
1778560334.088375,599616647506033298,78037,-135
1778560334.096067,599616647513725605,78037,-121
1778560334.103760,599616647521417912,78037,-130
1778560334.111452,599616647529110219,78037,-143
1778560334.119144,599616647536802526,78037,-135
1778560334.126836,599616647544494833,78037,-128
1778560334.134529,599616647552187140,78037,-135
1778560334.142221,599616647559879447,78037,-140
1778560334.149913,599616647567571754,78037,-143
1778560334.157606,599616647575264061,78037,-150
1778560334.165298,599616647582956368,78037,-140
1778560334.172990,599616647590648675,78037,-118
1778560334.180682,599616647598340982,78037,-99
1778560334.188375,599616647606033289,78037,-99
1778560334.196067,599616647613725596,78037,-101
1778560334.203759,599616647621417903,78037,-99
1778560334.211452,599616647629110210,78037,-104
1778560334.219144,599616647636802517,78037,-126
1778560334.226836,599616647644494824,78037,-140
1778560334.234529,599616647652187131,78037,-135
1778560334.242221,599616647659879438,78037,-128
1778560334.249913,599616647667571745,78037,-130
1778560334.257606,599616647675264052,78037,-135
1778560334.265298,599616647682956359,78037,-138
1778560334.272990,599616647690648666,78037,-121
1778560334.280683,599616647698340973,78037,-80
1778560334.288375,599616647706033280,78037,-14
1778560334.296067,599616647713725587,78037,97
1778560334.303759,599616647721417894,78037,380
1778560334.311452,599616647729110201,78037,814
1778560334.319144,599616647736802508,78037,615
1778560334.326836,599616647744494815,78037,-431
1778560334.334529,599616647752187122,78037,-785
1778560334.342221,599616647759879429,78037,-135
1778560334.349913,599616647767571736,78037,21
1778560334.357606,599616647775264043,78037,-252
1778560334.365298,599616647782956350,78037,-169
1778560334.372990,599616647790648657,78037,-77
1778560334.380682,599616647798340964,78037,-160
1778560334.388375,599616647806033271,78037,-150
1778560334.396067,599616647813725578,78037,-99
1778560334.403759,599616647821417885,78037,-126
1778560334.411452,599616647829110192,78037,-130
1778560334.419144,599616647836802499,78037,-94
1778560334.426836,599616647844494806,78037,-82
1778560334.434529,599616647852187113,78037,-92
1778560334.442221,599616647859879420,78037,-84
1778560334.449913,599616647867571727,78037,-75
1778560334.457606,599616647875264034,78037,-70
1778560334.401204,599616647882674468,78110,-63
1778560334.408896,599616647890366775,78110,-55
1778560334.416589,599616647898059082,78110,-43
1778560334.424281,599616647905751389,78110,-24
1778560334.431973,599616647913443696,78110,-14
1778560334.439666,599616647921136003,78110,-4
1778560334.447358,599616647928828310,78110,16
1778560334.455050,599616647936520617,78110,38
1778560334.462743,599616647944212924,78110,53
1778560334.470435,599616647951905231,78110,80
1778560334.478127,599616647959597538,78110,118
1778560334.485820,599616647967289845,78110,152
1778560334.493512,599616647974982152,78110,186
1778560334.501204,599616647982674459,78110,225
1778560334.508896,599616647990366766,78110,254
1778560334.516589,599616647998059073,78110,281
1778560334.524281,599616648005751380,78110,307
1778560334.531973,599616648013443687,78110,317
1778560334.539666,599616648021135994,78110,305
1778560334.547358,599616648028828301,78110,264
1778560334.555050,599616648036520608,78110,181
1778560334.562742,599616648044212915,78110,70
1778560334.570435,599616648051905222,78110,-48
1778560334.578127,599616648059597529,78110,-150
1778560334.585819,599616648067289836,78110,-232
1778560334.593512,599616648074982143,78110,-298
1778560334.601204,599616648082674450,78110,-332
1778560334.608896,599616648090366757,78110,-339
1778560334.616589,599616648098059064,78110,-351
1778560334.624281,599616648105751371,78110,-361
1778560334.631973,599616648113443678,78110,-354
1778560334.639666,599616648121135985,78110,-349
1778560334.647358,599616648128828292,78110,-349
1778560334.655050,599616648136520599,78110,-339
1778560334.662743,599616648144212906,78110,-329
1778560334.670435,599616648151905213,78110,-322
1778560334.678127,599616648159597520,78110,-307
1778560334.685819,599616648167289827,78110,-293
1778560334.693512,599616648174982134,78110,-293
1778560334.701204,599616648182674441,78110,-295
1778560334.708896,599616648190366748,78110,-286
1778560334.716589,599616648198059055,78110,-276
1778560334.724281,599616648205751362,78110,-274
1778560334.731973,599616648213443669,78110,-266
1778560334.739666,599616648221135976,78110,-242
1778560334.747358,599616648228828283,78110,-225
1778560334.755050,599616648236520590,78110,-223
1778560334.762743,599616648244212897,78110,-223
1778560334.770435,599616648251905204,78110,-215
1778560334.778127,599616648259597511,78110,-210
1778560334.785820,599616648267289818,78110,-210
1778560334.793512,599616648274982125,78110,-215
1778560334.801204,599616648282674432,78110,-213
1778560334.808896,599616648290366739,78110,-198
1778560334.816589,599616648298059046,78110,-194
1778560334.824281,599616648305751353,78110,-196
1778560334.831973,599616648313443660,78110,-196
1778560334.839666,599616648321135967,78110,-203
1778560334.847358,599616648328828274,78110,-206
1778560334.855050,599616648336520581,78110,-198
1778560334.862742,599616648344212888,78110,-191
1778560334.870435,599616648351905195,78110,-189
