timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778559741.493847,599616055825332610,216,-1017.0,-149.0,101.0,1032.81
1778559741.533848,599616055865332610,216,-1007.0,-102.0,56.0,1013.7
1778559741.573848,599616055905332610,216,-967.0,-118.0,63.0,976.21
1778559741.613847,599616055945332610,216,-1005.0,-17.0,59.0,1006.87
1778559741.653847,599616055985332610,216,-995.0,8.0,88.0,998.92
1778559741.693847,599616056025332610,216,-1009.0,36.0,102.0,1014.78
1778559741.733847,599616056065332610,216,-1015.0,-3.0,104.0,1020.32
1778559741.773847,599616056105332610,216,-1014.0,-23.0,92.0,1018.42
1778559741.813848,599616056145332610,216,-1015.0,0.0,90.0,1018.98
1778559741.853848,599616056185332610,216,-1017.0,5.0,75.0,1019.77
1778559741.893847,599616056225332610,216,-998.0,-7.0,62.0,999.95
1778559741.933847,599616056265332610,216,-985.0,-10.0,81.0,988.38
1778559741.973847,599616056305332610,216,-1015.0,-32.0,132.0,1024.05
1778559742.013847,599616056345332610,216,-1080.0,-28.0,197.0,1098.18
1778559742.053848,599616056385332610,216,-1057.0,-3.0,194.0,1074.66
1778559742.093848,599616056425332610,216,-999.0,-9.0,116.0,1005.75
1778559742.133847,599616056465332610,216,-994.0,6.0,115.0,1000.65
1778559742.173847,599616056505332610,216,-1019.0,-1.0,119.0,1025.93
1778559742.213847,599616056545332610,216,-1002.0,33.0,106.0,1008.13
1778559742.253847,599616056585332610,216,-1015.0,62.0,107.0,1022.51
1778559742.293848,599616056625332610,216,-1044.0,96.0,124.0,1055.71
1778559742.333848,599616056665332610,216,-1035.0,97.0,111.0,1045.44
1778559742.373847,599616056705332610,216,-1006.0,70.0,88.0,1012.26
1778559742.413847,599616056745332610,216,-1017.0,49.0,82.0,1021.48
1778559742.453847,599616056785332610,216,-1013.0,79.0,82.0,1019.38
1778559742.493847,599616056825332610,216,-1000.0,85.0,69.0,1005.98
1778559742.533848,599616056865332610,216,-1023.0,94.0,104.0,1032.56
1778559742.573848,599616056905332610,216,-1036.0,93.0,123.0,1047.41
1778559742.613847,599616056945332610,216,-1016.0,73.0,110.0,1024.54
1778559742.653847,599616056985332610,216,-1035.0,24.0,117.0,1041.87
1778559742.648999,599616057005243566,252,-1073.0,-7.0,135.0,1081.48
1778559742.688999,599616057045243566,252,-1036.0,-19.0,106.0,1041.58
1778559742.728999,599616057085243566,252,-1071.0,-17.0,79.0,1074.04
1778559742.768999,599616057125243566,252,-1000.0,121.0,-18.0,1007.45
1778559742.808999,599616057165243566,252,-927.0,204.0,-49.0,950.45
1778559742.848999,599616057205243566,252,-994.0,213.0,-10.0,1016.61
1778559742.888999,599616057245243566,252,-1009.0,173.0,37.0,1024.39
1778559742.928999,599616057285243566,252,-951.0,168.0,60.0,967.59
1778559742.968999,599616057325243566,252,-1061.0,68.0,70.0,1065.48
1778559743.008999,599616057365243566,252,-1146.0,21.0,130.0,1153.54
1778559743.048999,599616057405243566,252,-1131.0,100.0,196.0,1152.21
1778559743.088999,599616057445243566,252,-1063.0,66.0,77.0,1067.83
1778559743.128999,599616057485243566,252,-1015.0,89.0,122.0,1026.17
1778559743.168999,599616057525243566,252,-988.0,-32.0,83.0,992.0
1778559743.208999,599616057565243566,252,-989.0,-117.0,105.0,1001.42
1778559743.248999,599616057605243566,252,-978.0,-41.0,50.0,980.14
1778559743.288999,599616057645243566,252,-954.0,-8.0,81.0,957.47
1778559743.328999,599616057685243566,252,-1012.0,2.0,151.0,1023.21
1778559743.368999,599616057725243566,252,-1019.0,29.0,183.0,1035.71
1778559743.408999,599616057765243566,252,-1016.0,0.0,183.0,1032.35
1778559743.448999,599616057805243566,252,-1023.0,9.0,196.0,1041.65
1778559743.488999,599616057845243566,252,-1053.0,47.0,161.0,1066.27
1778559743.528999,599616057885243566,252,-1021.0,49.0,150.0,1033.12
1778559743.568999,599616057925243566,252,-1017.0,79.0,150.0,1031.03
1778559743.608999,599616057965243566,252,-1016.0,128.0,107.0,1029.61
1778559743.648999,599616058005243566,252,-997.0,127.0,95.0,1009.54
1778559743.688999,599616058045243566,252,-994.0,142.0,79.0,1007.19
1778559743.728999,599616058085243566,252,-1020.0,161.0,106.0,1038.05
1778559743.768999,599616058125243566,252,-1016.0,66.0,108.0,1023.85
1778559743.808999,599616058165243566,252,-1000.0,45.0,98.0,1005.8
1778559743.848999,599616058205243566,252,-1009.0,61.0,102.0,1015.98
1778559743.888999,599616058245243566,252,-1051.0,54.0,169.0,1065.87
1778559743.928999,599616058285243566,252,-1047.0,107.0,165.0,1065.31
1778559743.968999,599616058325243566,252,-1079.0,114.0,156.0,1096.16
